climate.station,lat,long,crop,avg.sowing.doy,X..values.sowing,avg.harvest.doy,X..values.harvest,earliest.sowing.doy,latest.sowing.doy,earliest.harvest.doy,latest.harvest.doy,climate.station2
8665,53.3833,8.1,WW,264,3,226,NA,286,290,211,236,8665
8666,53.4167,7.9833,WW,277,15,222,NA,259,296,205,235,8666
8670,53.1,8.5333,WW,264,16,227,NA,263,307,214,244,8670
8671,52.9833,8.2833,WW,263,5,219,NA,275,311,216,222,8671
8675,53.0667,8.1667,WW,262,5,219,NA,264,283,214,227,8675
8678,52.75,8.2,WW,268,7,215,NA,271,291,210,228,8678
8683,52.6667,8.2333,WW,269,5,223,NA,275,298,214,231,8683
8723,51.3833,6.6,WW,279,12,205,NA,262,294,196,225,8723
8724,51.2,6.45,WW,261,5,204,NA,281,289,197,208,8724
8754,51.1,6.5,WW,259,15,212,NA,265,304,197,219,8754
8759,51.2833,6.2,WW,268,5,213,NA,299,308,203,227,8759
8764,51.25,6.4833,WW,259,3,210,NA,286,293,208,213,8764
8765,51.3833,6.45,WW,275,12,213,NA,278,306,196,232,8765
8767,51.2333,6.55,WW,268,7,212,NA,283,291,200,230,8767
8772,51.7,6.1667,WW,268,8,214,NA,279,301,200,233,8772
8776,51.7833,6.0167,WW,269,8,211,NA,281,308,204,220,8776
8779,51.6667,6.2667,WW,262,16,224,NA,278,319,213,241,8779
8780,51.7833,6.45,WW,273,3,206,NA,285,296,200,217,8780
8793,51.1,7.1,WW,265,4,214,NA,287,295,206,218,8793
8810,51.5167,6.4,WW,268,16,209,NA,283,315,198,225,8810
8813,51.6333,6.1833,WW,262,7,214,NA,266,299,207,219,8813
8815,51.5833,6.25,WW,273,7,212,NA,273,297,203,217,8815
8817,51.45,6.6333,WW,270,15,209,NA,272,300,198,230,8817
8822,51.5833,6.5333,WW,264,16,209,NA,267,314,200,234,8822
8824,51.65,6.6167,WW,266,16,204,NA,273,302,193,215,8824
8836,50.9667,6.75,WW,249,14,211,NA,286,299,202,224,8836
8841,50.7667,7.1333,WW,254,16,207,NA,282,302,195,219,8841
8849,50.6667,6.8,WW,281,16,205,NA,284,300,196,216,8849
8851,50.6833,6.6667,WW,281,16,206,NA,277,291,195,218,8851
8852,50.6167,6.65,WW,281,14,210,NA,281,304,197,224,8852
8885,50.9167,7.5667,WW,275,5,204,NA,273,301,200,209,8885
8894,51.1,7.3833,WW,284,13,224,NA,274,299,213,246,8894
8932,50.8167,6.2667,WW,284,16,213,NA,281,294,200,230,8932
8934,50.7833,6.2,WW,281,15,217,NA,276,301,199,236,8934
8940,50.8,6.4167,WW,273,12,207,NA,197,299,195,215,8940
8958,50.8833,6.45,WW,279,16,205,NA,282,296,197,218,8958
8990,50.9167,6.1167,WW,288,16,207,NA,283,298,197,215,8990
9001,51.9968,6.9732,WW,282,3,221,NA,281,303,220,222,9001
9005,52.1167,7.1167,WW,276,7,213,NA,277,293,200,225,9005
9012,51.7,7.8333,WW,276,16,213,NA,265,293,199,241,9012
